기준일,지역명,당일확진자,지역확진,해외확진,누적확진자
20210625,대전,13,12,1,2578
20210625,광주,8,7,1,2910
20210625,인천,12,12,0,6664
20210625,대구,13,13,0,10566
20210625,부산,31,28,3,6148
20210625,서울,263,260,3,48980
20210625,합계,668,611,57,154457
20210624,검역,13,0,13,4107
20210624,제주,5,4,1,1243
20210624,경남,17,17,0,5179
20210624,경북,7,6,1,4925
20210624,전남,18,17,1,1626
20210624,전북,2,1,1,2334
20210624,충남,4,4,0,3746
20210624,충북,10,10,0,3277
20210624,강원,13,13,0,3465
20210624,경기,183,179,4,43066
20210624,세종,2,2,0,544
20210624,울산,16,16,0,2771
20210624,대전,9,8,1,2565
20210624,광주,5,5,0,2902
20210624,인천,29,24,5,6652
20210624,대구,5,5,0,10553
20210624,부산,27,27,0,6117
20210624,서울,269,264,5,48717
20210624,합계,634,602,32,153789
20210623,검역,19,0,19,4094
20210623,제주,4,3,1,1238
20210623,경남,23,22,1,5162
20210623,경북,29,28,1,4918
20210623,전남,6,3,3,1608
20210623,전북,6,6,0,2332
20210623,충남,7,7,0,3742
20210623,충북,6,5,1,3267
20210623,강원,5,5,0,3452
20210623,경기,185,184,1,42883
20210623,세종,1,1,0,542
20210623,울산,13,11,2,2755
20210623,대전,15,15,0,2556
20210623,광주,1,1,0,2897
20210623,인천,15,15,0,6623
20210623,대구,3,3,0,10548
20210623,부산,20,16,4,6090
20210623,서울,252,251,1,48448
20210623,합계,610,576,34,153155
20210622,검역,13,0,13,4075
20210622,제주,0,0,0,1234
20210622,경남,18,18,0,5139
20210622,경북,21,21,0,4889
20210622,전남,2,2,0,1602
20210622,전북,2,2,0,2326
20210622,충남,9,9,0,3735
20210622,충북,10,10,0,3261
20210622,강원,17,17,0,3447
20210622,경기,191,180,11,42698
20210622,세종,8,7,1,541
20210622,울산,5,5,0,2742
20210622,대전,58,57,1,2541
20210622,광주,4,4,0,2896
20210622,인천,28,26,2,6608
20210622,대구,7,6,1,10545
20210622,부산,16,13,3,6070
20210622,서울,236,228,8,48196
20210622,합계,645,605,40,152545
20210621,검역,29,0,29,4062
20210621,제주,1,1,0,1234
20210621,경남,11,11,0,5121
20210621,경북,11,10,1,4868
20210621,전남,8,6,2,1600
20210621,전북,2,2,0,2324
20210621,충남,12,11,1,3726
20210621,충북,16,16,0,3251
20210621,강원,10,10,0,3430
20210621,경기,92,92,0,42507
20210621,세종,6,6,0,533
20210621,울산,5,4,1,2737
20210621,대전,31,30,1,2483
20210621,광주,2,2,0,2892
20210621,인천,18,15,3,6580
20210621,대구,3,3,0,10538
20210621,부산,6,6,0,6054
20210621,서울,132,126,6,47960
20210621,합계,394,350,44,151900
20210620,검역,12,0,12,4033
20210620,제주,3,2,1,1233
20210620,경남,13,10,3,5110
20210620,경북,8,6,2,4857
20210620,전남,10,10,0,1592
20210620,전북,3,3,0,2322
20210620,충남,11,11,0,3714
20210620,충북,3,2,1,3235
20210620,강원,9,7,2,3420
20210620,경기,91,88,3,42415
20210620,세종,2,2,0,527
20210620,울산,0,0,0,2732
20210620,대전,15,14,1,2452
20210620,광주,2,1,1,2890
20210620,인천,9,7,2,6562
20210620,대구,18,16,2,10535
20210620,부산,14,11,3,6048
20210620,서울,134,127,7,47829
20210620,합계,357,317,40,151506
20210619,검역,19,0,19,4021
20210619,제주,2,2,0,1230
20210619,경남,11,10,1,5097
20210619,경북,6,5,1,4849
20210619,전남,3,3,0,1582
20210619,전북,3,3,0,2319
20210619,충남,10,10,0,3703
20210619,충북,6,6,0,3232
20210619,강원,13,13,0,3411
20210619,경기,113,111,2,42324
20210619,세종,3,2,1,525
20210619,울산,5,5,0,2732
20210619,대전,8,8,0,2437
20210619,광주,3,2,1,2888
20210619,인천,22,19,3,6553
20210619,대구,16,15,1,10517
20210619,부산,21,14,7,6034
20210619,서울,165,152,13,47695
20210619,합계,429,380,49,151149
20210618,검역,12,0,12,4002
20210618,제주,7,7,0,1228
20210618,경남,11,10,1,5086
20210618,경북,4,4,0,4843
20210618,전남,5,5,0,1579
20210618,전북,5,5,0,2316
20210618,충남,12,12,0,3693
20210618,충북,10,10,0,3226
20210618,강원,5,5,0,3398
20210618,경기,145,141,4,42211
20210618,세종,2,2,0,522
20210618,울산,5,5,0,2727
20210618,대전,5,5,0,2429
20210618,광주,4,4,0,2885
20210618,인천,22,20,2,6531
20210618,대구,13,13,0,10501
20210618,부산,18,15,3,6013
