기준일,지역명,당일확진자,지역확진,해외확진,누적확진자
2021-07-11,부산,44,43,1,6697
2021-07-11,서울,403,402,1,54998
2021-07-11,합계,1100,1063,37,169146
2021-07-12,충남,36,32,4,4182
2021-07-12,전북,18,18,0,2454
2021-07-12,전남,13,13,0,1738
2021-07-12,검역,29,0,29,4574
2021-07-12,경남,51,49,2,5572
2021-07-12,제주,19,19,0,1412
2021-07-12,충북,8,7,1,3406
2021-07-12,경북,8,8,0,5063
2021-07-12,강원,19,19,0,3754
2021-07-12,광주,9,9,0,3047
2021-07-12,세종,8,8,0,611
2021-07-12,울산,7,7,0,2948
2021-07-12,대전,31,31,0,3005
2021-07-12,인천,71,67,4,7399
2021-07-12,대구,38,36,2,10798
2021-07-12,부산,50,47,3,6747
2021-07-12,서울,417,414,3,55415
2021-07-12,합계,1150,1097,53,170296
2021-07-12,경기,318,313,5,48171
2021-07-13,충남,36,36,0,4218
2021-07-13,전북,9,9,0,2463
2021-07-13,제주,21,21,0,1433
2021-07-13,경북,22,19,3,5085
2021-07-13,경남,89,87,2,5661
2021-07-13,충북,10,9,1,3416
2021-07-13,전남,6,6,0,1744
2021-07-13,강원,16,15,1,3770
2021-07-13,광주,15,15,0,3062
2021-07-13,세종,6,6,0,617
2021-07-13,울산,11,11,0,2959
2021-07-13,대전,41,41,0,3046
2021-07-13,인천,96,93,3,7495
2021-07-13,대구,52,52,0,10850
2021-07-13,부산,63,62,1,6810
2021-07-13,서울,638,633,5,56053
2021-07-13,합계,1615,1568,47,171911
2021-07-13,경기,465,453,12,48636
2021-07-13,검역,19,0,19,4593
